Country,Retail_recreation,Grocery_pharmacy,Parks,Transit_stations,Workplaces,Residential,LAT,LON,GeoPoint
Kyrgyzstan,74.0,64.0,32.0,70.0,43.0,-15.0,41.4642677307129,74.5556488037109,POINT(74.5556488037109 41.4642677307129)
Austria,87.0,64.0,43.0,71.0,51.0,-14.0,47.587085723877,14.1412858963013,POINT(14.1412858963013 47.587085723877)
Kazakhstan,45.0,24.0,20.0,32.0,17.0,-9.0,48.1601066589355,67.2660827636719,POINT(67.2660827636719 48.1601066589355)
Sri Lanka,86.0,87.0,57.0,78.0,50.0,-32.0,7.6416449546814,80.6919784545898,POINT(80.6919784545898 7.6416449546814)
Cameroon,26.0,20.0,19.0,23.0,3.0,-9.0,5.69713592529297,12.7423362731934,POINT(12.7423362731934 5.69713592529297)
Egypt,50.0,24.0,40.0,52.0,35.0,-15.0,26.5784568786621,29.776876449585,POINT(29.776876449585 26.5784568786621)
Togo,37.0,25.0,21.0,41.0,9.0,-16.0,8.53075981140137,0.976809024810791,POINT(0.976809024810791 8.53075981140137)
Niger,23.0,15.0,19.0,25.0,1.0,-9.0,17.420581817627,9.40039253234863,POINT(9.40039253234863 17.420581817627)
Ivory Coast,35.0,21.0,21.0,33.0,9.0,-14.0,7.62284183502197,-5.5525598526001,POINT(-5.5525598526001 7.62284183502197)
Slovenia,88.0,92.0,43.0,54.0,45.0,-13.0,46.119556427002,14.8217601776123,POINT(14.8217601776123 46.119556427002)
Israel,67.0,13.0,56.0,61.0,59.0,-30.0,31.0,35.0,POINT(35 31)
Jordan,74.0,52.0,59.0,89.0,73.0,-27.0,31.2481918334961,36.7881011962891,POINT(36.7881011962891 31.2481918334961)
Bahrain,45.0,22.0,40.0,38.0,25.0,-16.0,26.0892467498779,50.5627746582031,POINT(50.5627746582031 26.0892467498779)
Botswana,12.0,2.0,-7.0,20.0,3.0,-13.0,-22.1872425079346,23.8145446777344,POINT(23.8145446777344 -22.1872425079346)
Bolivia,93.0,94.0,89.0,92.0,72.0,-35.0,-16.7146472930908,-64.6577911376953,POINT(-64.6577911376953 -16.7146472930908)
Sweden,24.0,10.0,-43.0,36.0,18.0,-5.0,62.8217926025391,16.7353858947754,POINT(16.7353858947754 62.8217926025391)
Hungary,66.0,43.0,7.0,53.0,32.0,-10.0,47.1651916503906,19.4120445251465,POINT(19.4120445251465 47.1651916503906)
Uganda,50.0,36.0,16.0,59.0,23.0,-19.0,1.27727496623993,32.3897018432617,POINT(32.3897018432617 1.27727496623993)
